Topics,Subtopics,Questions,Wrong1,Wrong2,Wrong3,Answer,Images
Introduction to Financial Accounting,"History, nature and functions of Accounting",Which of the following persons does not need financial information?,Teacher,Sculptor,Tailor,All of the above,
Introduction to Financial Accounting,"History, nature and functions of Accounting",Luca Pacioli is a/an,German monk,Spanish monk,Portuguese teacher,Italian monk,
Introduction to Financial Accounting,"History, nature and functions of Accounting","The book ""Summa de Arithmetical, Geometrica, proportion et proportionalita"" was written by",Lucas Pacioli,Lord Keynes,Abraham Lincoln,Luca Pacioli,
Introduction to Financial Accounting,"History, nature and functions of Accounting","The book ""Summa de Arithmetical, Geometrica, proportion et proportionalita"" was published in",1944,1449,1999,1494,
Introduction to Financial Accounting,"History, nature and functions of Accounting",Which of the following is true about book-keeping?,It is an integral part of Accounting,It involves classification and recording of business transactions,It tends to be repetitive,All of the above,
Introduction to Financial Accounting,"History, nature and functions of Accounting",Accounting does not cover one of these areas,Financial accounting,Management accounting ,Cost accounting,Book-keeping accounting,
Introduction to Financial Accounting,"History, nature and functions of Accounting",One of the following is NOT an example of business entity,Partnership,Sole trader,Limited Liability Company,Association/Club,
Introduction to Financial Accounting,"History, nature and functions of Accounting",One of the following postulated that all entries must have a double entry,A Dutchman,Taiwo Akinkunmi,Lucy Pacioli,Luca Pacioli,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The Institute of Chartered Accountants of Nigeria (ICAN) was established in what year?,1956,1966,1962,1965,
Introduction to Financial Accounting,"History, nature and functions of Accounting",Which body is charged with the responsibilities of regulating accounting procedures and practice in Nigeria,ANAN,Central Bank of Nigeria,NUT,ICAN,
Introduction to Financial Accounting,"History, nature and functions of Accounting",What is the cardinal rule of the double entry system?,Debit the increasing account and Credit the decreasing account,Debit asset account and Credit the liability account,Debit the revenue account and Credit the expenditure account,Debit the receiving account and Credit the giving account,
Introduction to Financial Accounting,"History, nature and functions of Accounting",Which of the following factors aided the development of Accounting? ,The discovery of solid mineral resources,The emergence of some nation states,statesThe development and management of a sophisticated monetary system,The growth in size of business and the separation of ownership and management,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The most important reason for studying accounting is that,Accounting provides gross profit information,Accounting plays an important role in the society,The study of accounting leads to a challenging career,The information provided by accounting is useful in making decisions,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The basic role of accounting is to,detect fraud,measure performance,protect shareholders,attest to financial statements,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The need for changes in accounting theory in Nigeria was influenced by the,introduction of the structural adjustment programme,inconvertibility of the nation's currency,dynamics of commercialisation and privatisation policies,growth in size of business units,
Introduction to Financial Accounting,"History, nature and functions of Accounting",A book-keeping error occurs when there is,unintentional correct posting in the ledger,deliberate manipulation of records,intentional failure to record transactions completely,incorrect records and oversights that are not intended,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The two legally recognised professional accounting bodies in Nigeria are the,Institute of Certified Public Accountants of Nigeria and the Institute of Cost and Management Account of Nigeria,Association of Accountants of Nigeria and the National Institute of Management Accountants of Nigeria,Nigerian Accounting Association and the Executive Cost and Management Accountants of Nigeria,Institute of Chartered Accountants of Nigeria and the Association of National Accountants of Nigeria,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The historical development of accounting reveals that it,is a product of it's own environment,is an ideal subject for financial development,is a product of financial development,deals with debit and credit of items,
Introduction to Financial Accounting,"History, nature and functions of Accounting",An accountant must not only be interested in record keeping but also in,the accuracy of postings,the casting of financial figures,effective preparation of balance sheet,the application of professional competency,
Introduction to Financial Accounting,"History, nature and functions of Accounting",The act that established the Institute of Chartered Accountants of Nigeria (ICAN) came into force on,"1st of September, 1960","1st of October, 1963","1st of October, 1960","1st of September, 1965",
Introduction to Financial Accounting,  Users of Accounting information,Accounting  information is used by investors and creditors of a company to predict,appropriate remunerations for the company's staff,potential merger candidates for the company,future tax payments of the company,future cashflows of the company,
Introduction to Financial Accounting,  Users of Accounting information,An effective accounting system should provide information ,"for promoters, directors, distributors and labour union",for customer feedback and requirement,on new products and methods,on internal and external reporting for managers and third parties,
Introduction to Financial Accounting,  Users of Accounting information,Creditors use accounting information for the purpose of,controlling a company's affairs,planning sales to a company,investing in a company,assessing a company's liquidity,
Introduction to Financial Accounting,  Users of Accounting information,A financial analyst needs accounting information to ,know why transactions cause increases and decreases in assets,know how to record transactions in T account,maintain the production section of business,advice on how to manage the business,
